temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),ET₀ (mm),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),shortwave_radiation_instant (W/m²),crop,Kc,ETc (mm),soil_deficit,irrigation_need,irrigation_amount,month,quarter
30.616666666666664,26.416666666666668,0.0,7.49,9.154166666666667,25.337500000000002,0.161125,6629.1,Maize,0.35,2.6214999999999997,2.6214999999999997,True,2.7203749999999998,5,2
30.84583333333333,28.041666666666668,0.0,7.51,10.049999999999999,25.65416666666667,0.1635,6346.8,Maize,0.35,2.6285,2.6285,True,2.7249999999999996,5,2
31.40416666666667,28.125,0.1,6.51,8.058333333333334,25.9375,0.167,5764.4,Maize,0.35,2.2784999999999997,2.1784999999999997,True,2.2714999999999996,5,2
26.483333333333334,46.291666666666664,0.5,5.75,8.520833333333334,26.170833333333334,0.167,5753.8,Maize,0.35,2.0124999999999997,1.5124999999999997,True,1.6054999999999997,5,2
28.895833333333332,39.25,0.0,6.55,8.3125,26.325,0.1735,6644.3,Maize,0.35,2.2925,2.2925,True,2.379,5,2
30.354166666666668,36.083333333333336,0.0,6.68,7.379166666666666,26.441666666666666,0.17441666666666666,6584.0,Maize,0.35,2.3379999999999996,2.3379999999999996,True,2.423583333333333,5,2
32.199999999999996,27.666666666666668,0.0,7.22,7.716666666666666,26.662499999999998,0.17400000000000002,6694.8,Maize,0.35,2.5269999999999997,2.5269999999999997,True,2.6129999999999995,5,2
32.800000000000004,28.583333333333332,0.0,7.2,8.525,26.891666666666666,0.17200000000000001,6204.6,Maize,0.35,2.52,2.52,True,2.608,5,2
31.008333333333336,39.958333333333336,6.2,6.17,9.216666666666667,27.1375,0.168,5433.2,Maize,0.35,2.1595,-4.0405,True,0.0,5,2
25.366666666666664,66.91666666666667,19.0,3.61,13.654166666666667,27.28333333333333,0.164,3098.7,Maize,0.35,1.2634999999999998,-17.7365,True,0.0,5,2
26.675,58.5,0.0,4.99,6.633333333333333,27.21666666666667,0.1685,5911.7,Maize,0.35,1.7465,1.7465,True,1.8379999999999999,5,2
24.995833333333334,66.08333333333333,6.0,3.73,7.625,27.041666666666668,0.1685,4285.8,Maize,0.35,1.3054999999999999,-4.6945,True,0.0,5,2
26.920833333333334,54.916666666666664,0.0,5.47,7.858333333333333,26.916666666666668,0.1535,6174.8,Maize,0.35,1.9144999999999999,1.9144999999999999,True,2.021,5,2
28.495833333333334,43.416666666666664,0.0,5.7700000000000005,7.204166666666667,26.899999999999995,0.1585,5958.1,Maize,0.35,2.0195,2.0195,True,2.121,5,2
26.900000000000002,61.708333333333336,5.3,4.5200000000000005,10.950000000000001,26.899999999999995,0.1575,4485.5,Maize,0.35,1.582,-3.718,True,0.0,5,2
26.941666666666666,61.208333333333336,6.0,4.9,6.758333333333333,26.804166666666664,0.157,5726.0,Maize,0.35,1.715,-4.285,True,0.0,5,2
22.233333333333334,83.375,30.0,2.66,8.975,26.604166666666668,0.1595,3444.9,Maize,0.35,0.9309999999999999,-29.069,True,0.0,5,2
24.025000000000002,69.83333333333333,1.8,3.9899999999999998,6.845833333333334,26.21666666666667,0.16245833333333334,4990.9,Maize,0.35,1.3964999999999999,-0.4035000000000002,True,0.0,6,2
23.933333333333334,68.54166666666667,2.0,4.49,6.3125,25.95,0.1655,5884.9,Maize,0.35,1.5715,-0.4285000000000001,True,0.0,6,2
27.004166666666666,57.208333333333336,0.0,5.28,5.25,25.866666666666664,0.165,6549.8,Maize,0.35,1.8479999999999999,1.8479999999999999,True,1.9429999999999998,6,2
28.708333333333332,52.791666666666664,0.0,5.33,4.891666666666667,25.920833333333334,0.1625,6280.4,Maize,0.35,1.8655,1.8655,True,1.9629999999999999,6,2
29.179166666666664,51.291666666666664,0.1,5.79,7.216666666666666,26.045833333333334,0.155,6167.3,Maize,0.35,2.0265,1.9264999999999999,True,2.0315,6,2
28.458333333333332,51.083333333333336,1.0,5.36,6.5,26.241666666666664,0.147,6045.6,Maize,0.35,1.876,0.8759999999999999,True,0.9889999999999999,6,2
27.695833333333336,57.041666666666664,1.4000000000000001,5.2,8.9125,26.424999999999997,0.149,5532.3,Maize,0.35,1.8199999999999998,0.4199999999999997,True,0.5309999999999997,6,2
29.275000000000002,50.25,0.8,5.96,8.179166666666667,26.599999999999998,0.15262499999999998,6173.900000000001,Maize,0.35,2.086,1.2859999999999998,True,1.3933749999999998,6,2
31.508333333333336,44.625,0.0,6.13,7.179166666666667,26.816666666666666,0.15054166666666666,6123.0,Maize,0.35,2.1454999999999997,2.1454999999999997,True,2.254958333333333,6,2
32.05833333333333,49.333333333333336,0.0,5.79,8.387500000000001,27.099999999999998,0.154,5568.8,Maize,0.35,2.0265,2.0265,True,2.1325,6,2
30.3625,57.0,1.1,5.98,8.987499999999999,27.375,0.162,5930.7,Maize,0.35,2.093,0.9929999999999999,True,1.091,6,2
31.854166666666668,52.125,0.0,6.28,8.729166666666666,27.59166666666667,0.1675,6135.2,Maize,0.35,2.198,2.198,True,2.2904999999999998,6,2
31.291666666666668,58.541666666666664,6.1,5.08,6.954166666666667,27.854166666666668,0.167,5421.9,Maize,0.35,1.7779999999999998,-4.322,True,0.0,6,2
28.979166666666668,68.0,7.5,4.29,6.904166666666666,28.037499999999998,0.1685,4801.8,Maize,0.35,1.5014999999999998,-5.9985,True,0.0,6,2
27.7,71.25,4.3999999999999995,3.64,7.125,28.100000000000005,0.1765,3876.2999999999997,Maize,0.35,1.274,-3.1259999999999994,True,0.0,6,2
30.2,59.291666666666664,0.0,5.31,6.4750000000000005,28.05416666666667,0.17699999999999996,5910.6,Maize,0.35,1.8584999999999998,1.8584999999999998,True,1.9414999999999998,6,2
