,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),ET₀ (mm),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),shortwave_radiation_instant (W/m²)
2024-01-01,10.329166666666667,91.08333333333333,0.0,1.32,5.645833333333333,16.095833333333335,0.29024999999999995,2388.2999999999997
2024-01-02,9.2125,92.33333333333333,0.0,1.06,5.116666666666666,15.958333333333334,0.29175,1955.0
2024-01-03,9.4125,92.0,0.0,1.27,4.408333333333333,15.779166666666667,0.2925,2389.9
2024-01-04,9.387500000000001,89.29166666666667,0.0,1.44,5.1875,15.604166666666666,0.2917083333333333,2643.8
2024-01-05,8.641666666666667,89.79166666666667,0.0,1.33,5.3125,15.391666666666667,0.295375,2596.1
2024-01-06,8.916666666666666,90.54166666666667,0.0,1.39,5.816666666666666,15.170833333333333,0.29775,2679.0
2024-01-07,8.25,91.29166666666667,0.0,1.3800000000000001,4.704166666666667,14.966666666666667,0.30024999999999996,2691.1
2024-01-08,8.445833333333333,86.66666666666667,0.0,1.53,4.054166666666666,14.775,0.30320833333333336,3031.4
2024-01-09,8.029166666666667,89.45833333333333,0.0,1.33,4.854166666666667,14.595833333333333,0.30779166666666663,2610.9
2024-01-10,8.279166666666667,89.91666666666667,0.0,1.41,9.4125,14.395833333333334,0.312125,2876.0
2024-01-11,7.708333333333333,92.66666666666667,0.0,1.2000000000000002,7.4125000000000005,14.195833333333333,0.31483333333333335,2474.9
2024-01-12,8.304166666666667,88.375,0.0,1.38,7.808333333333334,14.004166666666668,0.3155,2751.1
2024-01-13,8.7125,89.33333333333333,0.0,1.5,5.433333333333334,13.829166666666667,0.319,2910.1
2024-01-14,8.049999999999999,89.29166666666667,0.0,1.48,6.6000000000000005,13.658333333333333,0.3199166666666667,2850.5
2024-01-15,7.670833333333333,91.08333333333333,0.0,1.42,4.845833333333333,13.5375,0.32025,2807.7
2024-01-16,8.549999999999999,89.58333333333333,0.0,1.52,4.333333333333333,13.370833333333335,0.3222083333333334,3019.4
